room_id,supplier_id,name,serial_number,equipment_type,status,last_maintenance,next_maintenance,expiry_date
45,14,Equipment 1,SN-000001,hematology_analyzer,decommissioned,,2026-12-21T04:49:33.577776,2029-02-26T04:49:33.577802
48,11,Equipment 2,SN-000002,biochemistry_analyzer,broken,2025-12-27T04:49:33.577811,2026-03-08T04:49:33.577811,2030-10-11T04:49:33.577822
61,5,Equipment 3,SN-000003,refrigerator,decommissioned,,,2029-10-16T04:49:33.577830
33,5,Equipment 4,SN-000004,freezer,decommissioned,,,2026-12-18T04:49:33.577836
16,,Equipment 5,SN-000005,spectrophotometer,decommissioned,2026-02-03T04:49:33.577841,2026-08-06T04:49:33.577841,2026-09-10T04:49:33.577848
69,,Equipment 6,SN-000006,freezer,maintenance,,2027-03-06T04:49:33.577853,2030-05-15T04:49:33.577857
79,19,Equipment 7,SN-000007,spectrophotometer,maintenance,,,2030-01-24T04:49:33.577863
9,18,Equipment 8,SN-000008,freezer,operational,2025-11-21T04:49:33.577866,2026-06-23T04:49:33.577866,2028-07-12T04:49:33.577873
50,9,Equipment 9,SN-000009,hematology_analyzer,broken,2026-03-24T04:49:33.577877,2027-03-14T04:49:33.577877,2030-10-05T04:49:33.577883
14,24,Equipment 10,SN-000010,pcr_machine,maintenance,,,2026-08-03T04:49:33.577888
23,22,Equipment 11,SN-000011,refrigerator,decommissioned,2026-01-08T04:49:33.577892,2027-01-02T04:49:33.577892,2029-11-18T04:49:33.577898
59,,Equipment 12,SN-000012,centrifuge,operational,,,2030-10-11T04:49:33.577903
40,18,Equipment 13,SN-000013,refrigerator,broken,,,2026-07-18T04:49:33.577909
46,2,Equipment 14,SN-000014,other,broken,2026-02-15T04:49:33.577912,2026-08-10T04:49:33.577912,2027-11-15T04:49:33.577918
52,13,Equipment 15,SN-000015,pcr_machine,maintenance,,,2029-02-14T04:49:33.577923
35,24,Equipment 16,SN-000016,spectrophotometer,operational,2025-12-31T04:49:33.577926,2026-10-22T04:49:33.577926,2028-10-02T04:49:33.577932
38,3,Equipment 17,SN-000017,pcr_machine,broken,2026-02-17T04:49:33.577936,2026-12-23T04:49:33.577936,2028-01-22T04:49:33.577942
57,2,Equipment 18,SN-000018,pcr_machine,decommissioned,2025-12-16T04:49:33.577945,2026-04-10T04:49:33.577945,2027-11-18T04:49:33.577952
52,24,Equipment 19,SN-000019,other,maintenance,2026-03-21T04:49:33.577958,2026-05-28T04:49:33.577958,2026-07-07T04:49:33.577964
5,8,Equipment 20,SN-000020,other,broken,,2026-12-15T04:49:33.577967,2028-05-15T04:49:33.577971
78,15,Equipment 21,SN-000021,pcr_machine,broken,2025-11-10T04:49:33.577974,2025-12-26T04:49:33.577974,2028-10-30T04:49:33.577980
68,11,Equipment 22,SN-000022,other,broken,2025-11-09T04:49:33.577983,2026-02-17T04:49:33.577983,2027-09-28T04:49:33.577989
64,18,Equipment 23,SN-000023,biochemistry_analyzer,broken,2026-03-29T04:49:33.577992,2026-08-01T04:49:33.577992,2030-09-08T04:49:33.577997
79,16,Equipment 24,SN-000024,centrifuge,operational,2025-12-11T04:49:33.578000,2026-04-29T04:49:33.578000,2027-02-06T04:49:33.578012
57,22,Equipment 25,SN-000025,pcr_machine,broken,2025-12-10T04:49:33.578015,2026-04-07T04:49:33.578015,2030-04-27T04:49:33.578021
21,23,Equipment 26,SN-000026,other,maintenance,,2026-10-05T04:49:33.578025,2030-10-16T04:49:33.578028
26,8,Equipment 27,SN-000027,refrigerator,operational,2026-02-06T04:49:33.578032,2026-05-09T04:49:33.578032,2028-05-13T04:49:33.578037
71,3,Equipment 28,SN-000028,biochemistry_analyzer,broken,2025-12-31T04:49:33.578040,2026-09-26T04:49:33.578040,2028-07-28T04:49:33.578050
53,19,Equipment 29,SN-000029,biochemistry_analyzer,maintenance,2025-12-03T04:49:33.578053,2026-09-28T04:49:33.578053,2028-02-13T04:49:33.578058
67,25,Equipment 30,SN-000030,freezer,maintenance,2025-12-10T04:49:33.578061,2026-09-04T04:49:33.578061,2030-08-24T04:49:33.578067
8,17,Equipment 31,SN-000031,immunoassay_analyzer,broken,2025-12-15T04:49:33.578069,2026-09-28T04:49:33.578069,2027-04-07T04:49:33.578075
45,17,Equipment 32,SN-000032,microscope,operational,,2026-08-28T04:49:33.578078,2027-09-30T04:49:33.578082
17,20,Equipment 33,SN-000033,freezer,operational,,2026-09-22T04:49:33.578085,2029-02-27T04:49:33.578089
20,20,Equipment 34,SN-000034,incubator,broken,2025-11-04T04:49:33.578093,2026-09-27T04:49:33.578093,2031-01-24T04:49:33.578098
11,,Equipment 35,SN-000035,other,broken,2026-03-25T04:49:33.578101,2026-05-08T04:49:33.578101,2029-12-28T04:49:33.578106
80,16,Equipment 36,SN-000036,other,broken,2025-11-09T04:49:33.578110,2026-07-10T04:49:33.578110,2029-12-09T04:49:33.578115
52,3,Equipment 37,SN-000037,hematology_analyzer,maintenance,2025-12-02T04:49:33.578118,2026-05-06T04:49:33.578118,2028-10-21T04:49:33.578124
44,11,Equipment 38,SN-000038,pcr_machine,broken,2025-12-07T04:49:33.578127,2026-04-20T04:49:33.578127,2028-07-29T04:49:33.578132
