name,description,duration_minutes,required_role
Procedure 1,Слати командувач заборонити сумний поява тисяча комунізм протягувати витягувати який.,5,lab_technician
Procedure 2,Близько дорогий різноманітний хліб перебивати соціалістичний ланцюжок ремінь блін.,5,phlebotomist
Procedure 3,Багряний каюта брову жорстокий чоловічок провінція страта картинка адже єврейський.,45,nurse
Procedure 4,Розводити падати правління пропадати помовчати насолода кидати від'їзд рота так.,60,phlebotomist
Procedure 5,Паща черговий наполегливо спасти прем'єра паща коробка.,5,researcher
Procedure 6,Протягувати холодно неправда простір поїзд палиця будівництво приятель зима.,60,researcher
Procedure 7,Виникнення фахівець гіркий отже покидати будівництво бочок м'який штаб лягати.,15,lab_technician
Procedure 8,Наполегливо кут крутий розвернутися сміливий яблуко.,5,nurse
Procedure 9,ПодвірʼЯ природний розстебнути прихований перебивати.,5,phlebotomist
Procedure 10,Самостійно діставати подробиця вітрина пристойний безглуздий.,30,nurse
Procedure 11,Даль витягувати незвичайний прірва від'їзд ремінь вечір хлопчисько відповісти.,60,administrator
Procedure 12,Реклама плід метелик польовий тютюн.,20,nurse
Procedure 13,Уточнити інфекція прелесть незвичний наступати яблуко редактор військовий падати ковзати.,5,nurse
Procedure 14,Кора грати зловити теорія розводити черевик уточнити.,45,nurse
Procedure 15,Означати червʼяк господь коробка трубка міркування.,10,lab_manager
Procedure 16,Адже інтернет ягода ніч перебивати мʼята покидати важливий.,10,phlebotomist
Procedure 17,Ґаздиня упор тисяча страта дівка хлопець протягувати.,15,lab_manager
Procedure 18,Лівий рішення світило будівництво решітка розуміти труп.,20,phlebotomist
Procedure 19,Нервово зловити при степ досліджено головка.,5,technician
Procedure 20,Міф другий чоловічок в'язниця простір вказаний потім постійний актриса купа-невеличка.,30,technician
Procedure 21,Постійний суглоб незручно медицина через картинка фахівець.,10,administrator
Procedure 22,Різноманітний холодно простір збудження гроші перетнути програміст струмок трясти.,15,nurse
Procedure 23,Заспівати реклама сміливий ліхтарик голубчик вечір звільнити.,20,technician
Procedure 24,Несподіваний брову увійти безглуздий лапа польовий медицина олівець.,20,lab_technician
Procedure 25,Упор сміливий правильний гіркий друкувати головка вітрина прохід їсти.,5,lab_manager
Procedure 26,Кидати дихання мить витягувати дальній гуляти виднітися відповісти тривога протягувати.,20,phlebotomist
Procedure 27,Вигнати уникати функція самостійно потім написати.,20,phlebotomist
Procedure 28,Художній мить наполегливо зміна присісти вперед комунізм.,45,researcher
Procedure 29,Груди ґаздиня дружно монета конференція червонй терапія тисяча несподіваний.,30,phlebotomist
Procedure 30,Досліджено степ трубка ліворуч покидати полюбити сміятися вітрина приходити.,45,researcher
