procedure_id,consumable_id,quantity_per_use,is_optional
23,4,9.965,true
17,3,41.341,false
28,3,25.868,true
10,6,5.283,true
2,57,75.238,true
14,22,49.349,false
26,69,94.941,false
4,48,6.157,false
3,6,55.357,true
5,76,48.469,false
8,75,63.391,true
1,8,26.989,true
10,38,24.707,true
27,63,30.531,false
9,12,44.654,true
20,42,78.31,true
13,76,37.393,true
6,54,78.224,false
15,11,96.139,false
18,16,4.275,false
22,80,96.115,false
5,18,65.341,true
17,59,0.154,false
17,68,27.403,false
4,13,83.965,false
18,48,99.924,true
15,61,58.557,false
10,19,4.644,true
1,16,30.134,false
2,79,69.873,true
16,78,72.535,false
19,40,87.84,true
30,40,61.083,false
14,62,88.405,false
14,7,63.553,false
12,74,27.374,false
6,33,34.229,false
3,80,95.903,false
29,44,1.686,true
3,25,64.68,true
2,63,60.918,true
20,53,90.154,true
29,37,41.375,false
25,58,76.27,true
17,20,78.752,true
7,61,53.911,false
25,12,67.257,false
21,72,97.207,false
11,49,82.764,false
26,49,38.736,true
4,28,12.564,false
18,45,93.631,false
28,22,1.035,true
1,68,75.866,false
11,70,19.232,false
9,27,80.861,true
11,24,23.502,false
2,21,96.733,true
6,3,28.148,true
14,50,0.813,false
24,36,11.184,false
19,58,56.953,false
19,67,17.131,true
16,4,66.018,true
5,40,6.63,true
21,12,74.623,true
18,22,26.036,true
4,69,88.112,false
8,51,19.266,true
10,48,99.196,false
11,56,68.1,false
5,42,0.295,false
22,58,64.133,true
26,19,85.401,false
20,70,43.312,false
7,24,27.476,false
4,16,49.608,true
10,50,88.392,true
19,7,4.792,false
30,16,53.288,false
