parameter_id,gender,min_age_years,max_age_years,normal_range_min,normal_range_max
51,F,18,39,89.913,230.512
53,M,,,80.853,157.224
50,M,40,64,81.732,165.095
56,M,18,39,84.963,270.701
41,,,,52.486,116.417
37,M,40,64,22.158,32.357
47,F,65,120,57.568,75.676
28,F,,,33.683,128.906
48,M,65,120,39.913,126.868
45,M,18,39,19.891,99.015
37,M,18,39,26.699,112.769
44,,,,41.417,114.534
13,F,40,64,2.518,63.551
23,,65,120,44.102,228.952
15,M,,,72.876,90.13
48,M,18,39,92.68,266.444
53,F,0,17,80.448,141.541
31,M,40,64,53.847,94.687
34,F,65,120,99.231,238.276
43,M,65,120,66.386,75.178
11,M,40,64,69.683,124.012
30,,,,66.071,198.701
59,,40,64,2.006,175.501
42,F,18,39,50.903,192.87
58,F,65,120,53.203,90.568
33,F,,,92.235,153.29
32,F,,,68.463,139.603
20,M,40,64,62.617,238.365
57,M,40,64,34.244,112.874
9,M,65,120,67.832,242.385
44,M,65,120,15.36,209.47
9,M,18,39,68.436,108.978
9,F,18,39,90.909,244.942
42,,18,39,55.778,245.503
8,M,40,64,14.638,20.632
21,F,65,120,74.586,238.944
13,M,,,76.269,198.704
18,,18,39,23.168,28.482
6,,,,84.629,178.435
15,M,65,120,1.6,55.645
27,M,18,39,6.707,192.135
29,,65,120,86.691,264.22
28,F,0,17,82.45,226.518
26,,0,17,45.216,210.635
3,M,65,120,4.021,81.562
49,,,,44.011,220.902
50,F,,,29.513,213.328
45,,18,39,64.646,82.825
33,M,18,39,93.79,233.043
9,F,65,120,2.589,93.38
58,,18,39,9.109,73.992
8,M,0,17,63.444,80.597
46,F,18,39,38.123,191.798
59,F,,,14.546,168.4
4,F,40,64,76.886,166.193
41,M,0,17,96.047,96.853
49,F,0,17,85.556,194.302
1,,65,120,58.927,154.122
27,F,0,17,0.757,177.202
18,,,,14.911,145.601
3,M,0,17,83.818,143.576
59,M,,,99.374,131.725
19,,18,39,74.959,147.061
3,M,40,64,89.763,253.834
9,M,40,64,41.434,83.482
14,,,,73.0,198.833
6,F,40,64,84.795,136.801
37,,40,64,61.468,160.798
47,,65,120,18.073,139.993
46,F,,,2.496,127.626
8,,18,39,99.899,182.766
22,F,,,20.199,76.596
51,M,40,64,55.044,208.474
8,,40,64,72.467,195.704
2,M,18,39,33.86,168.387
59,F,0,17,48.201,173.678
58,,40,64,81.435,267.0
4,,40,64,67.852,178.932
2,M,40,64,88.814,159.598
10,F,0,17,37.587,144.488
