consumable_id,room_id,current_quantity,min_quantity
35,42,473,90
41,58,210,
54,77,177,66
59,73,51,
79,51,63,
25,50,238,59
8,73,455,50
2,2,141,
69,22,324,41
46,2,232,87
76,15,111,98
54,49,248,94
6,57,310,
12,52,211,60
62,10,293,40
18,74,295,40
32,39,289,19
18,19,195,11
64,71,224,26
16,31,297,82
55,22,185,97
75,1,27,19
31,40,145,11
63,54,472,
13,1,404,
21,57,367,46
69,51,279,63
72,22,347,20
48,22,166,88
45,69,158,
30,50,471,
28,62,413,
7,51,167,
12,47,481,91
79,76,426,97
28,55,357,
28,64,69,40
36,77,473,
58,10,381,68
57,45,390,49
17,73,93,32
29,38,70,
74,15,284,30
57,63,340,76
45,46,128,43
17,39,419,44
42,38,184,13
71,74,312,44
47,70,364,
66,50,129,90
63,42,259,75
21,36,439,
10,17,137,57
72,65,52,
17,32,466,96
37,44,379,
48,19,454,15
69,23,64,41
41,16,135,59
13,18,491,
11,18,491,80
79,18,307,93
73,2,127,
53,8,188,50
63,19,273,83
66,36,344,
22,11,146,32
80,7,220,15
48,39,238,
63,37,216,49
3,16,233,
55,17,102,
55,26,401,
35,66,213,89
73,4,337,85
77,50,410,35
19,42,118,41
27,76,209,
13,59,277,
44,16,102,98
34,45,398,10
5,36,102,49
74,35,121,
59,1,89,17
40,30,43,21
55,12,287,76
12,14,291,57
36,17,317,20
70,28,68,
63,44,98,60
35,70,239,17
66,15,147,26
14,41,435,
29,69,418,60
15,24,213,51
50,55,77,39
55,14,426,27
24,63,102,23
33,11,230,
64,53,123,62
38,74,267,36
63,18,479,43
5,58,80,
32,51,471,48
45,79,107,87
18,49,438,
9,68,385,21
27,27,182,
48,59,362,16
23,39,419,
76,29,500,13
12,57,351,67
7,6,89,41
67,57,89,27
79,22,425,
18,24,104,38
59,80,205,
37,22,420,90
46,9,300,
12,59,416,
