test_type_id,name,min_volume,unit
1,Param_1_1,3.329,ml
1,Param_1_2,4.192,mg
1,Param_1_3,0.975,ml
2,Param_2_1,1.09,IU/L
2,Param_2_2,1.039,ml
2,Param_2_3,2.898,IU/L
3,Param_3_1,3.324,%
3,Param_3_2,3.157,%
3,Param_3_3,1.354,mmol/L
4,Param_4_1,1.182,ml
4,Param_4_2,0.164,mg
4,Param_4_3,3.313,ml
5,Param_5_1,2.393,ml
5,Param_5_2,1.869,IU/L
5,Param_5_3,4.128,ml
6,Param_6_1,4.136,mmol/L
6,Param_6_2,2.692,ml
6,Param_6_3,4.189,ml
7,Param_7_1,4.729,%
7,Param_7_2,0.576,mg
7,Param_7_3,2.705,mg
8,Param_8_1,1.046,mg
8,Param_8_2,2.893,mg
8,Param_8_3,2.836,%
9,Param_9_1,2.134,ml
9,Param_9_2,3.855,%
9,Param_9_3,1.854,IU/L
10,Param_10_1,3.542,IU/L
10,Param_10_2,4.426,mg
10,Param_10_3,3.983,%
11,Param_11_1,2.068,mmol/L
11,Param_11_2,3.322,%
11,Param_11_3,4.992,IU/L
12,Param_12_1,4.674,mmol/L
12,Param_12_2,2.795,mmol/L
12,Param_12_3,4.24,IU/L
13,Param_13_1,3.845,IU/L
13,Param_13_2,4.148,mmol/L
13,Param_13_3,3.081,%
14,Param_14_1,2.774,IU/L
14,Param_14_2,3.852,mmol/L
14,Param_14_3,1.864,IU/L
15,Param_15_1,2.293,IU/L
15,Param_15_2,0.101,ml
15,Param_15_3,4.916,%
16,Param_16_1,0.18,mg
16,Param_16_2,4.968,mmol/L
16,Param_16_3,0.132,mg
17,Param_17_1,1.153,mmol/L
17,Param_17_2,0.206,mmol/L
17,Param_17_3,4.604,%
18,Param_18_1,2.826,%
18,Param_18_2,0.858,ml
18,Param_18_3,2.356,mg
19,Param_19_1,0.778,mmol/L
19,Param_19_2,4.459,mg
19,Param_19_3,1.242,mmol/L
20,Param_20_1,0.55,IU/L
20,Param_20_2,2.888,mg
20,Param_20_3,3.698,mmol/L
