test_type_id,consumable_id,quantity_per_test,is_optional
12,4,16.985,true
7,26,15.323,true
2,39,18.545,false
2,57,33.079,false
17,76,43.932,true
19,73,6.013,true
8,18,39.765,true
20,56,26.674,false
4,2,15.966,false
18,19,48.851,true
16,31,46.059,true
10,54,42.736,false
1,51,39.5,false
11,7,12.434,false
2,4,43.655,false
12,54,10.541,true
15,80,39.255,true
15,25,8.455,false
4,59,37.59,false
3,17,24.98,false
6,43,9.032,false
1,10,26.321,false
8,34,35.811,false
7,14,23.741,false
17,46,31.941,true
14,10,10.439,true
3,74,22.659,true
13,60,19.855,false
16,56,21.309,false
1,76,28.611,false
15,75,12.801,true
18,7,6.803,true
2,38,14.823,false
4,11,11.586,true
11,4,23.316,false
14,30,21.363,false
15,13,21.682,false
7,9,40.245,false
1,23,13.724,true
11,25,9.06,true
19,47,13.355,true
19,56,18.019,true
4,4,14.796,true
3,14,39.315,true
16,60,5.011,true
18,32,18.076,true
14,80,16.755,false
2,8,12.576,false
2,72,9.613,true
1,18,49.92,false
16,80,0.526,false
11,38,14.164,false
20,80,39.178,false
5,61,47.296,true
6,26,23.653,true
13,41,43.287,true
6,44,11.424,true
7,43,23.774,false
19,17,36.153,false
10,78,17.099,true
8,26,15.722,true
10,23,21.497,false
20,9,10.558,false
13,52,42.662,true
8,1,18.798,true
8,65,15.348,true
8,10,25.04,false
1,59,17.057,false
11,79,21.343,false
5,38,38.166,false
11,33,16.371,true
13,27,28.422,true
15,24,46.115,true
10,9,48.864,false
2,5,28.453,false
17,33,49.011,true
8,30,47.44,true
5,40,26.771,true
20,13,23.791,false
7,31,28.519,false
16,43,31.986,false
8,14,4.753,true
9,13,33.777,true
10,75,1.7,false
20,43,1.439,true
14,45,3.568,false
12,2,14.262,true
18,15,14.626,true
1,29,22.788,false
1,47,25.975,true
4,80,16.406,false
5,8,19.616,true
11,67,6.544,false
2,64,23.965,true
19,25,19.511,true
11,76,6.584,true
11,21,15.557,false
15,67,8.023,false
13,15,29.416,false
13,24,13.845,true
