supplier_id,storage_condition_id,name,unit
8,9,Consumable 1,g
13,8,Consumable 2,µl
10,5,Consumable 3,g
16,8,Consumable 4,pcs
24,8,Consumable 5,g
12,6,Consumable 6,mg
,4,Consumable 7,ml
,9,Consumable 8,µl
14,5,Consumable 9,ml
8,7,Consumable 10,µl
16,9,Consumable 11,g
16,8,Consumable 12,mg
12,3,Consumable 13,ml
16,3,Consumable 14,µl
2,9,Consumable 15,pcs
3,1,Consumable 16,pcs
21,4,Consumable 17,pcs
1,4,Consumable 18,µl
2,10,Consumable 19,µl
22,8,Consumable 20,pcs
,9,Consumable 21,mg
,9,Consumable 22,g
10,1,Consumable 23,µl
22,7,Consumable 24,ml
4,9,Consumable 25,ml
20,9,Consumable 26,g
9,7,Consumable 27,pcs
13,8,Consumable 28,µl
23,4,Consumable 29,g
3,1,Consumable 30,pcs
13,9,Consumable 31,mg
,1,Consumable 32,ml
,7,Consumable 33,g
4,9,Consumable 34,pcs
23,10,Consumable 35,mg
3,5,Consumable 36,µl
2,3,Consumable 37,g
,4,Consumable 38,µl
23,7,Consumable 39,pcs
19,4,Consumable 40,µl
13,9,Consumable 41,g
24,3,Consumable 42,pcs
12,1,Consumable 43,pcs
3,6,Consumable 44,µl
20,7,Consumable 45,g
,5,Consumable 46,mg
12,9,Consumable 47,mg
22,10,Consumable 48,mg
,10,Consumable 49,g
23,2,Consumable 50,pcs
13,3,Consumable 51,mg
4,2,Consumable 52,pcs
15,6,Consumable 53,g
3,3,Consumable 54,mg
18,9,Consumable 55,mg
3,6,Consumable 56,µl
,10,Consumable 57,g
1,5,Consumable 58,mg
3,9,Consumable 59,ml
6,7,Consumable 60,ml
10,5,Consumable 61,mg
6,7,Consumable 62,g
16,2,Consumable 63,g
8,8,Consumable 64,µl
15,2,Consumable 65,ml
13,6,Consumable 66,µl
11,8,Consumable 67,g
21,10,Consumable 68,ml
20,4,Consumable 69,mg
13,6,Consumable 70,g
21,8,Consumable 71,µl
11,7,Consumable 72,g
13,6,Consumable 73,pcs
7,10,Consumable 74,µl
25,9,Consumable 75,pcs
15,4,Consumable 76,mg
23,2,Consumable 77,mg
5,5,Consumable 78,ml
5,7,Consumable 79,mg
,10,Consumable 80,mg
