name,facility_type,location
Lviv Medical Center #1,laboratory,"(45.909488,29.124145)"
Odesa Medical Center #2,hospital,"(47.657797,38.72233)"
Kharkiv Medical Center #3,hospital,"(44.074524,33.180867)"
Dnipro Medical Center #4,laboratory,"(44.586086,25.836778)"
Zaporizhzhia Medical Center #5,hospital,"(45.059653,28.282159)"
Vinnytsia Medical Center #6,clinic,"(51.034162,28.651488)"
Sumy Medical Center #7,laboratory,"(47.505477,31.777923)"
Rivne Medical Center #8,hospital,"(48.893422,39.770195)"
Kropyvnytskyi Medical Center #9,hospital,"(49.342906,31.982841)"
Kyiv Medical Center #10,hospital,"(51.51144,24.41724)"
Lviv Medical Center #11,clinic,"(51.117702,35.3635)"
Odesa Medical Center #12,laboratory,"(46.178786,32.886937)"
Kharkiv Medical Center #13,laboratory,"(45.628778,33.416283)"
Dnipro Medical Center #14,hospital,"(48.043272,26.520183)"
Zaporizhzhia Medical Center #15,laboratory,"(44.738388,29.624364)"
