worker_id,sample_id,equipment_id,test_type_id,urgency,status,assigned_at
108,77,12,2,routine,cancelled,2026-04-17T17:55:56.152511
21,73,89,20,stat,in_progress,2026-04-14T18:55:56.152701
96,93,12,10,urgent,completed,2026-04-15T13:55:56.152715
105,18,108,18,routine,completed,2026-04-14T14:55:56.152721
18,32,36,11,stat,cancelled,2026-04-14T00:55:56.152726
27,54,14,19,stat,pending,2026-04-14T11:55:56.152732
93,74,109,11,urgent,completed,2026-04-18T05:55:56.152738
79,128,81,16,urgent,in_progress,2026-04-13T02:55:56.152743
30,75,1,4,routine,cancelled,2026-04-12T22:55:56.152748
102,31,27,20,urgent,cancelled,2026-04-19T03:55:56.152753
43,90,82,7,routine,in_progress,2026-04-16T14:55:56.152764
33,18,65,18,urgent,pending,2026-04-18T09:55:56.152770
88,86,93,19,stat,pending,2026-04-17T18:55:56.152774
25,85,87,16,urgent,pending,2026-04-12T17:55:56.152779
18,124,,15,stat,completed,2026-04-14T16:55:56.152784
101,106,8,17,urgent,completed,2026-04-13T16:55:56.152788
69,5,88,11,urgent,pending,2026-04-18T00:55:56.152793
36,8,49,18,routine,cancelled,2026-04-17T15:55:56.152798
77,30,97,10,stat,completed,2026-04-19T06:55:56.152802
35,106,,8,urgent,cancelled,2026-04-16T09:55:56.152806
28,78,,12,routine,in_progress,2026-04-18T15:55:56.152811
57,130,,16,stat,in_progress,2026-04-17T14:55:56.152815
44,124,68,10,urgent,in_progress,2026-04-18T13:55:56.152820
106,34,5,15,urgent,pending,2026-04-19T13:55:56.152825
40,12,77,3,urgent,cancelled,2026-04-19T03:55:56.152831
14,80,,10,stat,in_progress,2026-04-16T04:55:56.152836
26,50,69,11,urgent,pending,2026-04-16T17:55:56.152841
20,41,2,20,stat,pending,2026-04-17T10:55:56.152846
70,90,35,5,stat,completed,2026-04-13T12:55:56.152850
32,44,,20,urgent,cancelled,2026-04-19T02:55:56.152854
17,8,87,2,routine,cancelled,2026-04-19T01:55:56.152859
12,110,91,20,stat,cancelled,2026-04-13T01:55:56.152863
46,80,26,18,routine,cancelled,2026-04-13T13:55:56.152869
17,24,90,15,routine,cancelled,2026-04-16T07:55:56.152874
88,120,29,5,stat,completed,2026-04-15T17:55:56.152878
51,47,86,11,urgent,cancelled,2026-04-14T10:55:56.152883
4,17,45,16,urgent,in_progress,2026-04-16T14:55:56.152888
99,90,17,17,routine,cancelled,2026-04-18T11:55:56.152893
42,19,69,15,urgent,cancelled,2026-04-17T01:55:56.152898
80,63,62,13,routine,completed,2026-04-17T09:55:56.152902
105,111,56,19,urgent,in_progress,2026-04-17T18:55:56.152908
85,20,92,19,urgent,pending,2026-04-13T07:55:56.152913
77,119,13,15,routine,completed,2026-04-15T07:55:56.152918
9,28,77,13,urgent,cancelled,2026-04-12T17:55:56.152924
85,16,,5,stat,pending,2026-04-18T01:55:56.152931
85,39,38,13,stat,cancelled,2026-04-17T12:55:56.152937
27,82,102,10,urgent,completed,2026-04-18T16:55:56.152942
75,3,66,13,routine,completed,2026-04-18T23:55:56.152946
48,14,,18,urgent,pending,2026-04-16T14:55:56.152951
111,8,90,19,urgent,completed,2026-04-15T13:55:56.152957
52,98,28,6,urgent,in_progress,2026-04-17T14:55:56.152963
72,99,47,14,routine,completed,2026-04-18T06:55:56.152968
18,3,,1,routine,cancelled,2026-04-14T23:55:56.152973
125,35,,14,urgent,cancelled,2026-04-12T23:55:56.152980
24,117,71,15,urgent,completed,2026-04-17T05:55:56.152984
24,109,74,16,stat,in_progress,2026-04-14T06:55:56.152989
35,106,74,12,routine,pending,2026-04-13T13:55:56.152994
62,95,,16,stat,pending,2026-04-18T02:55:56.153000
94,72,11,17,stat,pending,2026-04-17T00:55:56.153006
61,20,70,19,urgent,pending,2026-04-15T23:55:56.153011
69,3,66,16,stat,completed,2026-04-15T03:55:56.153017
46,76,5,20,stat,completed,2026-04-13T14:55:56.153022
34,16,75,6,stat,pending,2026-04-16T12:55:56.153027
104,7,11,5,stat,pending,2026-04-16T15:55:56.153036
33,34,36,9,routine,pending,2026-04-13T04:55:56.153041
23,39,48,6,urgent,in_progress,2026-04-14T10:55:56.153049
24,9,11,5,stat,in_progress,2026-04-14T08:55:56.153055
97,106,31,15,stat,in_progress,2026-04-17T09:55:56.153060
74,89,,9,routine,pending,2026-04-17T20:55:56.153065
60,103,61,18,routine,cancelled,2026-04-15T11:55:56.153070
61,68,,14,routine,completed,2026-04-14T20:55:56.153075
49,81,88,2,routine,completed,2026-04-15T00:55:56.153080
79,70,35,4,urgent,cancelled,2026-04-14T16:55:56.153085
99,62,76,7,stat,completed,2026-04-17T16:55:56.153090
41,3,107,3,routine,cancelled,2026-04-18T13:55:56.153096
68,27,45,8,stat,completed,2026-04-16T22:55:56.153100
25,9,,3,routine,in_progress,2026-04-13T05:55:56.153105
82,32,16,3,stat,in_progress,2026-04-15T14:55:56.153112
85,48,90,6,urgent,completed,2026-04-14T15:55:56.153118
85,20,36,14,stat,completed,2026-04-16T21:55:56.153123
21,19,8,13,urgent,completed,2026-04-18T23:55:56.153128
34,68,,3,urgent,in_progress,2026-04-13T02:55:56.153132
51,46,14,5,stat,cancelled,2026-04-17T07:55:56.153137
79,28,92,9,routine,pending,2026-04-18T20:55:56.153144
10,65,3,16,routine,pending,2026-04-19T05:55:56.153149
86,100,90,11,urgent,pending,2026-04-14T03:55:56.153154
91,126,52,3,stat,in_progress,2026-04-19T14:55:56.153159
50,124,,18,urgent,completed,2026-04-16T09:55:56.153163
52,15,83,3,urgent,completed,2026-04-18T18:55:56.153168
108,118,38,7,routine,pending,2026-04-15T12:55:56.153173
85,49,50,4,stat,completed,2026-04-14T10:55:56.153178
11,113,18,2,routine,pending,2026-04-13T07:55:56.153183
