name,min_volume,unit
Parameter_1,1.919,g/L
Parameter_2,2.512,cells/µL
Parameter_3,4.357,IU/mL
Parameter_4,0.996,10^9/L
Parameter_5,1.473,mmol/L
Parameter_6,3.776,g
Parameter_7,0.365,U/L
Parameter_8,2.444,10^12/L
Parameter_9,0.26,ng/mL
Parameter_10,2.029,mg
Parameter_11,2.34,l
Parameter_12,3.521,IU/L
Parameter_13,1.647,pcs
Parameter_14,0.158,µg
Parameter_15,1.959,l
Parameter_16,1.695,µmol/L
Parameter_17,1.017,µmol/L
Parameter_18,1.262,IU/mL
Parameter_19,4.797,g/L
Parameter_20,1.893,IU/mL
Parameter_21,2.177,U/L
Parameter_22,3.533,ng/mL
Parameter_23,1.889,pg/mL
Parameter_24,1.47,mg
Parameter_25,2.9,cells/µL
Parameter_26,3.461,l
Parameter_27,3.632,mmol/L
Parameter_28,2.821,pg/mL
Parameter_29,1.061,g
Parameter_30,2.418,pcs
Parameter_31,0.965,IU/mL
Parameter_32,0.759,10^9/L
Parameter_33,2.717,g/L
Parameter_34,3.948,mg/dL
Parameter_35,1.33,cells/µL
Parameter_36,0.334,l
Parameter_37,3.484,ml
Parameter_38,1.156,µmol/L
Parameter_39,2.435,l
Parameter_40,2.304,g/L
Parameter_41,1.373,ng/mL
Parameter_42,2.846,µmol/L
Parameter_43,1.786,U/L
Parameter_44,0.694,µg
Parameter_45,2.927,10^12/L
Parameter_46,0.955,mg/dL
Parameter_47,1.84,10^9/L
Parameter_48,2.489,IU/L
Parameter_49,4.459,pg/mL
Parameter_50,3.107,IU/L
Parameter_51,3.195,g
Parameter_52,4.354,g/L
Parameter_53,2.167,cells/µL
Parameter_54,2.083,µl
Parameter_55,0.488,g/L
Parameter_56,1.218,g/L
Parameter_57,3.3,µmol/L
Parameter_58,3.066,pg/mL
Parameter_59,1.429,IU/L
Parameter_60,3.927,ng/mL
Parameter_61,3.765,10^9/L
Parameter_62,4.831,U/L
Parameter_63,0.92,pcs
Parameter_64,0.713,mmol/L
Parameter_65,3.344,µl
Parameter_66,1.132,pg/mL
Parameter_67,0.605,µl
Parameter_68,4.69,IU/mL
Parameter_69,2.787,pcs
Parameter_70,3.878,10^9/L
Parameter_71,3.848,µl
Parameter_72,0.609,g
Parameter_73,0.513,pg/mL
Parameter_74,1.616,mmol/L
Parameter_75,3.714,IU/L
Parameter_76,3.17,g
Parameter_77,2.681,mg
Parameter_78,0.24,ng/mL
Parameter_79,4.316,g/L
Parameter_80,4.335,IU/L
