procedure_id,consumable_id,quantity_per_use,is_optional
23,4,40.734,true
17,3,84.643,true
28,3,78.31,true
11,60,37.393,true
2,57,78.224,false
14,22,96.139,false
9,8,4.275,false
26,69,96.115,false
8,75,65.341,true
1,8,0.154,false
4,41,27.403,false
9,49,83.965,false
9,12,99.924,true
20,42,58.557,false
13,76,4.644,true
5,53,30.134,false
6,54,69.873,true
18,53,72.535,false
15,11,87.84,true
18,16,61.083,false
22,80,88.405,false
5,18,63.553,false
9,71,27.374,false
17,59,34.229,false
4,13,95.903,false
29,42,1.686,true
1,53,64.68,true
19,13,60.918,true
8,77,90.154,true
10,19,41.375,false
19,31,76.27,true
2,79,78.752,true
16,78,53.911,false
19,40,67.257,false
14,62,97.207,false
3,62,82.764,false
6,33,38.736,true
3,80,12.564,false
29,44,93.631,false
3,25,1.035,true
2,63,75.866,false
25,65,19.232,false
2,26,80.861,true
25,58,23.502,false
8,72,96.733,true
7,61,28.148,true
25,12,0.813,false
21,72,11.184,false
11,49,56.953,false
21,17,17.131,true
26,49,66.018,true
28,22,6.63,true
1,68,74.623,true
11,70,26.036,true
16,66,88.112,false
9,27,19.266,true
11,24,99.196,false
6,3,68.1,false
14,50,0.295,false
24,36,64.133,true
19,58,85.401,false
28,6,43.312,false
30,3,27.476,false
27,16,49.608,true
19,67,88.392,true
10,73,4.792,false
5,40,53.288,false
21,12,0.615,true
12,9,33.537,true
18,22,99.027,true
4,69,97.812,false
8,51,95.782,true
21,30,19.768,false
11,56,31.15,true
5,42,2.884,false
22,58,80.825,false
20,70,84.067,true
10,50,10.873,true
19,7,95.884,true
13,15,82.181,true
