test_type_id,parameter_id,sort_order
1,71,1
1,57,2
1,18,3
1,70,4
2,76,1
2,77,2
2,59,3
3,68,1
3,69,2
3,40,3
3,45,4
3,62,5
4,12,1
4,57,2
4,40,3
5,53,1
5,34,2
5,20,3
5,39,4
6,1,1
6,67,2
7,45,1
7,37,2
7,61,3
8,63,1
8,62,2
9,2,1
9,56,2
9,38,3
9,77,4
10,1,1
10,71,2
10,48,3
11,53,1
11,72,2
11,56,3
12,32,1
12,21,2
12,50,3
12,49,4
12,29,5
13,11,1
13,55,2
13,31,3
13,67,4
14,37,1
14,69,2
14,35,3
14,53,4
15,9,1
15,24,2
15,18,3
16,15,1
16,59,2
16,80,3
16,58,4
17,80,1
17,63,2
17,25,3
17,42,4
18,20,1
18,7,2
19,24,1
19,14,2
20,35,1
20,17,2
20,57,3
20,2,4
